id,week,date,male,age,nationality,origin,language_1,language_2,civil,hcomp,hcomp_other,benefit_2y_1,benefit_2y_2,benefit_2y_3,educ,work_2y,work_2y_type_1,work_2y_type_2,work_2y_type_3,work_2y_type_other,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6,cont_7,cont_8,cont_9,cw_1,cw_2,cw_3,cw_4,cw_5,cw_6,cw_7,cw_8,cw_9,sat,exempt,exempt_reason_1,exempt_reason_2,exempt_reason_other,eff_beh_1,eff_beh_2,eff_beh_3,eff_beh_4,eff_beh_5,eff_beh_6,eff_beh_7,eff_beh_8,eff_beh_9,eff_out_1,eff_out_2,eff_out_3,eff_out_4,eff_out_5,eff_out_6,eff_out_7,intensity_pl,effort_pl,sw_01,sw_02,sw_03,sw_04,sw_05,sw_06,sw_07,sw_08,sw_09,sw_10,sw_11,sw_12,sw_13,sw_14,soc_belonging,rm_01,rm_02,rm_03,rm_04,rm_05,rm_06,rm_07,rm_08,rm_09,rm_10,rm_11,rm_12,cw,treatment,sa,sa_reason,sa_reason_other,cw_ass
3108,45,10112017,1,40,0,0,0,,3,1,,1,,,3,3,,,,,3,4,4,2,3,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,7,1,2,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,5,5,5,5,2,1,4,5,5,2,5,4,5,6,8,5,5,5,7,8,3,7,3,1,1,,,4
8034,45,7112017,0,23,0,8,0,,1,5,thuis inwonend bij stiefvader,0,,,3,3,,,,,4,2,4,2,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,7,1,2,,,,,,,,,,,,,,,,,,,,,6,5,5,5,5,5,3,4,3,1,5,5,5,5,2,5,4,5,5,8,3,5,4,7,7,4,1,14,0,0,,,4
8850,45,10112017,0,23,0,0,0,,1,5,met een huisgenoot op een studentenkamer,0,,,5,2,2,9,,stage (10 maanden),4,1,4,1,4,1,5,5,4,4,4,99,99,4,3,5,5,5,5,5,5,5,3,5,8,3,,,,5,5,5,2,5,4,5,5,5,4,4,4,4,4,4,2,0,0,8,8,8,8,8,8,8,2,2,1,3,1,1,1,4,5,4,5,5,8,2,5,5,7,1,1,2,12,0,0,,,5
3775,45,10112017,0,25,0,10,0,,1,5,bij tante en oom,0,,,4,1,1,,,,4,4,4,3,,3,5,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,2,3,,,,1,3,2,3,4,4,4,4,4,4,5,3,4,4,4,4,5,4,9,8,9,9,9,9,9,5,9,5,5,5,3,2,6,5,4,5,3,6,7,6,7,4,8,1,2,14,0,0,,,4
8512,45,8112017,1,50,0,0,0,,1,5,inwonend bij moeder,1,2,,4,2,3,6,,,4,2,4,2,3,1,4,3,5,5,5,5,3,5,3,4,4,4,4,4,4,4,4,4,7,3,,,,3,5,5,3,5,4,5,4,3,3,2,3,2,2,3,1,3,3,2,3,3,2,2,2,6,5,5,2,2,3,6,5,3,5,4,5,5,8,2,5,2,7,1,8,6,8,0,0,,,4
6554,46,14112017,0,34,0,0,0,,1,1,,0,,,3,1,1,2,,,3,2,2,2,3,1,4,4,4,4,4,4,2,4,3,4,4,4,4,3,4,4,4,4,8,3,,,,2,5,4,2,4,5,5,5,5,5,5,5,4,3,4,2,4,4,1,1,1,1,1,1,1,9,4,4,5,2,5,5,2,5,4,5,4,8,2,5,8,7,1,5,,2,1,1,,,4
8971,46,13112017,0,18,0,0,0,,1,5,thuis inwonend,0,,,2,4,,,,,4,3,3,2,4,1,4,4,3,3,3,99,4,4,4,4,4,4,4,4,4,4,4,4,7,1,1,,,4,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,0,0,4,3,5,3,5,5,3,7,6,3,3,4,6,7,2,5,4,5,5,8,3,5,6,7,1,1,7,14,0,0,,,4
1890,46,14112017,0,20,0,0,0,,1,5,instelling,1,,,3,3,,,,,4,3,4,4,4,1,5,4,3,4,4,4,3,5,5,5,4,4,4,4,4,5,5,5,7,1,5,,"momenteel zwanger, medische klachten, ptss",3,3,1,3,1,1,3,3,1,1,1,3,1,1,1,1,0,2,3,1,1,1,1,1,1,9,8,5,9,1,9,9,4,5,5,5,6,4,3,7,2,8,3,1,4,12,0,0,,,5
2575,46,15112017,1,42,0,9,0,5,3,1,,1,,,3,2,1,,,,4,2,4,2,2,2,4,4,4,3,4,4,4,4,4,5,4,5,4,99,5,5,4,4,8,4,,,,3,3,4,3,3,4,3,3,3,3,2,3,2,3,2,2,2,3,1,1,1,1,1,1,4,8,8,6,7,7,9,9,4,5,5,6,6,8,4,5,4,7,1,1,4,4,1,1,,,4
9954,46,15112017,0,62,0,0,0,,2,2,,4,,,1,3,,,,,5,1,5,2,4,1,4,5,4,4,4,4,4,4,5,5,4,4,4,4,5,5,5,5,8,1,1,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,6,6,6,6,6,6,6,2,5,4,5,4,8,3,4,8,7,1,4,4,5,1,1,,,3
